Sound,Color,Spatiality,Composition,Shape,Material
20,0.636,0.183,0.192,0.311,0.083
21,0.000,0.499,0.265,0.500,0.740
22,0.121,0.824,0.800,0.473,0.508
23,0.500,0.774,0.559,0.783,0.500
