Sound,Color,Spatiality,Composition,Shape,Material
18,0.711,0.825,0.382,1.000,1.000
19,0.211,0.255,0.100,1.000,0.224
10,0.000,1.000,0.000,0.000,0.393
11,0.980,0.333,0.740,0.200,0.662
