Sound,Color,Spatiality,Composition,Shape,Material
14,0.867,0.715,0.940,0.862,0.339
15,0.611,0.806,1.000,0.281,0.751
16,0.095,0.318,0.863,0.093,0.205
17,0.000,0.956,0.000,0.342,0.634
