Sound,Color,Spatiality,Composition,Shape,Material
02,0.663,0.398,0.420,0.728,0.400
03,0.062,0.381,0.340,0.275,0.353
04,0.437,0.714,0.770,0.733,0.711
05,0.617,0.800,0.296,0.223,0.794
