Sound,Color,Spatiality,Composition,Shape,Material
38,0.637,0.175,0.763,0.236,0.358
39,0.899,0.271,0.547,0.720,0.606
30,0.164,0.244,0.709,0.938,0.737
31,0.224,0.896,0.216,0.207,0.608
