Sound,Color,Spatiality,Composition,Shape,Material
42,0.694,0.816,0.211,0.459,0.795
43,0.703,0.286,0.602,0.602,0.373
44,0.781,0.428,0.301,0.446,0.598
45,0.392,0.293,0.588,0.178,0.295
