Sound,Color,Spatiality,Composition,Shape,Material
44,0.783,0.932,0.133,0.642,0.322
45,0.278,0.115,0.644,0.557,0.191
46,0.732,0.476,0.278,0.689,0.368
47,0.338,0.759,0.638,0.505,0.500
