Sound,Color,Spatiality,Composition,Shape,Material
10,0.857,0.934,0.116,0.544,0.793
11,0.342,0.312,0.130,0.534,0.291
12,0.931,0.683,0.937,0.823,0.886
13,0.007,0.973,0.000,0.219,0.224
