Sound,Color,Spatiality,Composition,Shape,Material
24,1.000,0.302,0.218,0.557,0.640
25,0.055,0.375,0.016,0.655,0.707
26,0.180,0.670,0.670,0.063,0.377
27,0.581,0.173,0.070,0.390,0.303
