Sound,Color,Spatiality,Composition,Shape,Material
08,0.713,0.361,0.076,0.208,0.393
09,0.500,0.584,0.408,0.496,0.500
00,0.203,0.490,0.208,0.384,0.322
01,0.412,0.230,0.309,1.000,0.219
