Sound,Color,Spatiality,Composition,Shape,Material
34,0.372,0.259,0.335,0.732,0.698
35,0.963,0.270,0.618,0.498,0.269
36,0.456,0.000,0.995,0.875,0.783
37,0.596,0.915,0.157,0.451,0.720
