Sound,Color,Spatiality,Composition,Shape,Material
36,0.426,0.988,0.723,0.249,0.097
37,0.062,0.116,0.159,0.334,0.000
38,0.739,0.606,0.052,1.000,0.627
39,0.436,0.380,0.837,0.374,0.197
