Sound,Color,Spatiality,Composition,Shape,Material
22,0.515,0.297,0.110,0.590,1.000
23,0.400,0.298,0.410,0.880,0.498
24,0.601,0.726,0.261,0.703,0.439
25,0.195,0.687,0.000,0.399,0.774
