Sound,Color,Spatiality,Composition,Shape,Material
40,0.830,0.784,0.196,0.687,0.418
41,0.869,0.189,0.018,0.779,0.390
42,0.628,0.921,0.045,0.969,0.265
43,0.292,0.443,1.000,0.777,0.000
