Sound,Color,Spatiality,Composition,Shape,Material
04,0.111,0.821,0.326,0.708,0.668
05,0.233,0.457,0.245,0.652,0.493
06,0.510,0.550,0.495,0.008,0.762
07,0.113,0.538,0.155,1.000,1.000
