Sound,Color,Spatiality,Composition,Shape,Material
12,0.417,1.000,0.337,0.062,0.370
13,0.716,0.702,0.000,0.706,0.744
14,0.142,0.631,0.119,0.357,0.119
15,1.000,0.104,0.149,0.748,0.809
