Sound,Color,Spatiality,Composition,Shape,Material
16,0.500,0.745,0.424,0.783,0.232
17,0.910,0.987,0.239,0.046,0.614
18,0.396,0.898,0.862,0.851,0.686
19,0.000,0.279,0.000,0.000,0.178
