Sound,Color,Spatiality,Composition,Shape,Material
26,0.742,0.408,0.212,0.195,1.000
27,0.244,0.291,0.356,0.298,0.048
28,1.000,1.000,0.205,0.500,0.602
29,0.098,0.430,0.474,0.129,0.081
