Sound,Color,Spatiality,Composition,Shape,Material
30,0.393,0.332,0.449,0.385,0.299
31,0.689,0.416,0.304,0.667,0.781
32,0.121,0.711,0.000,1.000,0.672
33,0.677,0.297,0.688,0.500,0.500
