Sound,Color,Spatiality,Composition,Shape,Material
46,0.300,0.894,0.814,0.215,0.792
47,0.803,0.918,0.879,0.204,0.785
48,0.588,0.570,0.399,0.791,0.714
49,0.287,0.809,0.389,0.194,0.397
