Sound,Color,Spatiality,Composition,Shape,Material
32,0.660,0.924,0.374,0.229,0.653
33,0.554,0.425,0.549,0.796,0.845
34,0.295,0.644,0.890,0.651,0.749
35,0.621,0.734,0.321,0.603,0.281
