Sound,Color,Spatiality,Composition,Shape,Material
28,0.760,0.392,0.694,0.239,0.430
29,0.403,0.438,1.000,0.719,0.111
20,0.670,0.262,0.236,0.611,0.276
21,0.420,0.737,0.000,0.395,0.044
