file,RT20,RT30,EDT,C50,C80,D50,D80,Color,Spatiality,Composition,Shape,Material
00_York Minster.wav,7.418191277223787,7.676525901127096,6.020730631201896,-3.4197,-2.5579455,0.312724,0.3568669,0.3325,0.7085,0.5005000000000001,0.5715,0.5075
01_Genesis 6 Studio – Live Room Drum Set Up (tomc_ir).wav,0.2128725760734215,0.2398290037694115,0.2269792656049165,15.142548,22.783758,0.9703069,0.99475986,0.376,0.264,0.305,0.808,0.286
02_Usina del Arte Symphony (ir_w_m5.s1).wav,1.839466182381096,1.9463032681124992,11.276783629036084,-3.7276626,-0.46876436,0.29768923,0.47304195,0.8315,0.6565000000000001,0.375,0.817,0.267
03_Hoffmann Lime Kiln (ir_p2).wav,0.8185195543810303,1.0623617839399455,0.5107720227014964,5.750245,9.28108,0.7898534,0.8944522,0.1515,0.3155,0.235,0.146,0.4385
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,0.7097498030228317,0.8878163646401981,0.3800813878368141,9.425406,12.792874,0.8975487,0.9500583,0.369,0.7759999999999999,0.598,0.7296666666666667,0.5466666666666667
05_St Andrew’s Church.wav,1.3702812222363043,1.3903897500317002,1.0536512589990223,3.6200879,5.189324,0.69710624,0.76761377,0.6166666666666667,0.7523333333333334,0.455,0.553,0.7623333333333333
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",0.3358445253463303,0.3521264611261321,0.1883013412043548,15.325955,21.158222,0.97150004,0.9923993,0.5303333333333333,0.48,0.327,0.138,0.6506666666666666
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",1.2622148222839886,1.4466117517833037,0.7551224534125739,1.9995487,5.853234,0.6131121,0.7937626,0.2239999999999999,0.3736666666666666,0.7053333333333333,0.7656666666666666,0.6096666666666667
08_hamilton-mausoleum.wav,13.363300679548106,15.4096140067118,8.79099392189113,-0.49651098,0.3491564,0.47144964,0.52008826,0.5893333333333333,0.6,0.1346666666666666,0.5453333333333333,0.4036666666666667
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,0.8706171069938214,0.878010172342271,0.8124250900431959,2.7047083,5.8867474,0.65085095,0.79502296,0.505,0.24375,0.2555,0.62625,0.7755
10_Maes Howe.wav,0.5013693063869542,0.546518031243269,0.5428716492562223,7.7317977,12.427603,0.8557354,0.94591326,0.3613333333333333,0.702,0.3263333333333333,0.4543333333333333,0.654
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,0.853608787558597,1.1402434352136095,0.5642551400291432,5.29723,9.247833,0.77201647,0.8937273,0.5616666666666666,0.463,0.3296666666666666,0.4893333333333333,0.4763333333333333
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,1.382914598791772,2.0496336622107325,0.8089667813462641,1.974241,5.283573,0.6117289,0.77146244,0.674,0.8415,0.637,0.4425,0.628
"13_Tvísöngur Sound Sculpture, Iceland (source2domelareceiver1domefabformat).wav",1.4714605220932198,1.6212370550121329,1.4025862055585192,1.2344332,3.96863,0.5705851,0.7137794,0.3615,0.8374999999999999,0.0,0.4624999999999999,0.484
"14_Central Hall, University of York ir_centre_stalls.wav",1.0476384363722766,1.082017988459013,1.03280522653656,2.9296389,4.791127,0.6625266,0.7508588,0.5045,0.673,0.5295,0.6094999999999999,0.229
15_The Dixon Studio Theatre (r1_rir_bformat).wav,1.0591690179710955,1.1023433606744053,0.9445695550693948,0.47131184,3.2681978,0.5271044,0.6797299,0.8055,0.455,0.5745,0.5145,0.78
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",1.559469922213707,1.6687617220711146,1.534914325007854,0.6337061,2.987102,0.53641444,0.6654785,0.2975,0.5315,0.6435,0.438,0.2185
17_tyndall_bruce_b_format.wav,1.49183485970006,1.7508547064265636,0.5627710913688818,9.005145,9.827465,0.8883018,0.90575385,0.455,0.9715,0.1195,0.194,0.624
18_R1 Nuclear Reactor Hall.wav,4.492917559287587,4.81625691888645,3.230418823216915,-2.6431582,-0.5405679,0.3523764,0.4689225,0.5535,0.8614999999999999,0.622,0.9255,0.843
19_clifford_tower_S1R1_Bformat.wav,2.313602232677273,2.455443284687781,1.4687035083685946,1.6872908,3.3887365,0.59592474,0.68574166,0.1055,0.267,0.05,0.5,0.201
20_newgrange_s1r6.wav,0.2555216887060714,0.2956974147333698,1.772688378810349,13.485498,21.787094,0.9571047,0.993417,0.653,0.2225,0.214,0.4609999999999999,0.1795
21_newgrange_s6r1.wav,0.2295363839674298,0.2792101916374246,33.37557051044007,23.77102,29.672258,0.99582106,0.99892306,0.21,0.618,0.1325,0.4475,0.392
"22_Holy Trinity Church, Goodramgate (Position1).wav",0.9999182024816788,1.0748741985969006,0.6257665267126039,4.8123355,6.878808,0.7517713,0.8297567,0.318,0.5605,0.455,0.5315,0.754
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,1.5336848095525903,1.513699247522606,2.042194843103679,4.580246,5.7632256,0.741665,0.79034907,0.45,0.536,0.4845,0.8315,0.499
24_Innocent Railway Tunnel (tunnel_entrance_a_4way_bformat).wav,0.4662802674465833,0.9955949553510768,0.2522928693530362,12.040824,16.361702,0.94117165,0.9774105,0.8005,0.514,0.2395,0.63,0.5395
25_Hoffmann Lime Kiln (ir_p1).wav,0.7981202819125258,1.041240824711022,0.4664436108531168,6.244922,9.510694,0.80813646,0.89934057,0.125,0.531,0.008,0.527,0.7404999999999999
"26_Ron Cooke Hub, University of York( fsfr).wav",1.478247567614986,1.498486641730038,1.361272974394684,0.23220687,2.671269,0.5133637,0.6490993,0.4609999999999999,0.539,0.441,0.129,0.6885
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",4.137701366030563,4.249396316212246,6.591231724165733,-7.819686,-5.5276017,0.14178422,0.2187822,0.4125,0.2319999999999999,0.213,0.344,0.1755
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",0.3427451041215724,0.3681956089201963,0.36887416214998,14.639061,19.641685,0.9667782,0.9892566,0.88,0.696,0.4494999999999999,0.3695,0.516
29_Falkland Palace Bottle Dungeon.wav,1.7051064817719517,1.901911874880917,1.1191076851337052,0.6339544,3.394765,0.5364287,0.68604064,0.2505,0.434,0.737,0.424,0.096
30_gill-heads-mine.wav,0.2522150414048642,0.461674979008618,0.2070549180688785,16.26365,22.355177,0.9769064,0.99421936,0.2785,0.288,0.579,0.6615,0.518
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",1.6826526010663228,1.727134577573961,1.53312790446971,0.4055643,2.5995386,0.5233292,0.6453281,0.4564999999999999,0.656,0.26,0.437,0.6945
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,9.504522434498169,10.917100446134164,6.257419715245759,-1.05885,-0.44797534,0.43934783,0.4742353,0.3905,0.8175,0.187,0.6145,0.6625000000000001
33_Heslington Church.wav,1.602940992884497,1.6287792828498349,1.4476006556662937,-2.4805608,0.5250101,0.36096683,0.5301852,0.6155,0.361,0.6185,0.648,0.6725
34_terrys_typing_b_format.wav,2.24633717233534,2.472850246155393,1.3490652105428746,2.3660548,3.9161901,0.6329294,0.7113062,0.3335,0.4515,0.6125,0.6915,0.7235
35_St. Margaret’s Church – National Centre for Early Music (r1_1st_configuration).wav,1.4454015072878343,1.4716705907913292,1.3130138023076323,0.9659881,3.162389,0.5553787,0.6744029,0.792,0.502,0.4695,0.5505,0.275
36_theatre41_HL01_bformatIR_48k.wav,0.7326027011078619,0.763457936003225,0.586695192588891,4.9363766,8.234874,0.7570627,0.86945516,0.441,0.494,0.859,0.562,0.44
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,1.574834627920097,1.617255176624775,1.5285312177306976,-2.2185314,0.6798637,0.37499762,0.5390564,0.3289999999999999,0.5155000000000001,0.158,0.3925,0.36
38_Genesis 6 Studio – Live Room Drum Set Up (kick_ir).wav,0.2230222736327885,0.2410758282009324,0.2080094983996665,15.620008,22.952885,0.9733157,0.99495894,0.688,0.3904999999999999,0.4075,0.618,0.4925
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,0.2125816160649913,0.2283350259679588,0.2231863633530346,14.234291,22.655327,0.9636511,0.99460346,0.6675,0.3255,0.692,0.5469999999999999,0.4014999999999999
"40_Lady Chapel, St Albans Cathedral.wav",2.116241350239218,2.319920158494991,1.2879573336612304,5.060376,6.547751,0.7622753,0.81871647,0.7775,0.643,0.2774999999999999,0.3435,0.648
"41_Sports Centre, University of York.wav",5.583760861900197,6.106061716520462,4.993117156212038,-3.4138691,-2.4412014,0.3130126,0.36305994,0.638,0.2855,0.355,0.8895,0.351
42_theatre41_C01_bformatIR_48k.wav,0.6833427607190538,0.7317312331090635,0.3678848650917451,6.0633397,9.256982,0.8015698,0.8939271,0.661,0.8685,0.128,0.714,0.53
43_theatre41_HR01_bformatIR_48k.wav,0.7253624949243308,0.7615398555991397,0.5509291426670936,6.278772,9.504069,0.8093421,0.8992023,0.4974999999999999,0.3645,0.8009999999999999,0.6895,0.1865
44_terrys_warehouse_b_format.wav,8.931086234810625,12.525278222671954,6.348584032929538,-4.244539,-2.045783,0.27341968,0.3843656,0.782,0.68,0.217,0.544,0.4599999999999999
45_Creswell Crags (2_r_rhcbottom_s_rhc_mouth).wav,0.7494022251384101,1.1621835346204596,0.4579982188901408,9.252653,13.294148,0.8938325,0.95525885,0.335,0.204,0.616,0.3675,0.243
46_newgrange_s1r1.wav,0.2147886650357496,0.2545534802946116,2.171437527301991,21.325655,28.00037,0.9926847,0.99841785,0.516,0.685,0.546,0.4519999999999999,0.5800000000000001
47_York Guildhall Council Chamber (councilchamber_s1_r1_ir_1_96000).wav,0.8788414725192895,0.8876816812068128,0.805666007787229,1.4525361,4.677809,0.5828438,0.7459457,0.5705,0.8385,0.7585,0.3545,0.6425000000000001
48_Jack Lyons Concert Hall (rir_jack_lyons_lp1_96k).wav,1.7416063928396024,1.887030389132413,1.5820929057006383,-1.8033965,0.30757403,0.39765456,0.51769793,0.434,0.52,0.6635,0.4105,0.487
49_theatre41_HR05_bformatIR_48k.wav,0.7256445896036573,0.7612651597479685,0.5503708077651727,6.0477695,9.292868,0.80099905,0.8947081,0.5715,0.706,0.2615,0.535,0.6985
