file,PC1,PC2,PC3,Color,Spatiality,Composition,Shape,Material
00_York Minster.wav,-4.022158527308746,0.96049757337731,-0.2176011335844687,0.3325,0.7085,0.5005000000000001,0.5715,0.5075
01_Genesis 6 Studio – Live Room Drum Set Up (tomc_ir).wav,2.9248688313854063,0.3933031323773306,-0.5832503530685039,0.376,0.264,0.305,0.808,0.286
02_Usina del Arte Symphony (ir_w_m5.s1).wav,-2.3383185072545327,0.156926224328891,2.1841502387697886,0.8315,0.6565000000000001,0.375,0.817,0.267
03_Hoffmann Lime Kiln (ir_p2).wav,0.9491413142389346,-0.4162364638959399,-0.1923844655418133,0.1515,0.3155,0.235,0.146,0.4385
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,1.705308632873806,-0.1007519702632203,-0.4333222305153781,0.369,0.7759999999999999,0.598,0.7296666666666667,0.5466666666666667
05_St Andrew’s Church.wav,0.0467184733855564,-0.5397991282220233,0.0428989595592571,0.6166666666666667,0.7523333333333334,0.455,0.553,0.7623333333333333
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",2.8231970289299126,0.3728112778759534,-0.6120045568628854,0.5303333333333333,0.48,0.327,0.138,0.6506666666666666
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",-0.1081038310670692,-0.6887760041118018,0.1005572726688376,0.2239999999999999,0.3736666666666666,0.7053333333333333,0.7656666666666666,0.6096666666666667
08_hamilton-mausoleum.wav,-4.822992078733813,3.6125797450815127,-2.422241630494765,0.5893333333333333,0.6,0.1346666666666666,0.5453333333333333,0.4036666666666667
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,0.1305224094753288,-0.7569057925432503,0.2044108668548776,0.505,0.24375,0.2555,0.62625,0.7755
10_Maes Howe.wav,1.5635294216508218,-0.2736753109237496,-0.2435909819584643,0.3613333333333333,0.702,0.3263333333333333,0.4543333333333333,0.654
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,0.8701158823908498,-0.4269479948152297,-0.1744512997061539,0.5616666666666666,0.463,0.3296666666666666,0.4893333333333333,0.4763333333333333
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,-0.2759716531182382,-0.6100095772632933,0.0257002262467286,0.674,0.8415,0.637,0.4425,0.628
"13_Tvísöngur Sound Sculpture, Iceland (source2domelareceiver1domefabformat).wav",-0.558667034884682,-0.6885816642322444,0.2846333627855245,0.3615,0.8374999999999999,0.0,0.4624999999999999,0.484
"14_Central Hall, University of York ir_centre_stalls.wav",-0.0346065716775791,-0.7021567733726201,0.2112113016034258,0.5045,0.673,0.5295,0.6094999999999999,0.229
15_The Dixon Studio Theatre (r1_rir_bformat).wav,-0.6702736891560703,-0.9742024401406456,0.4717688769702733,0.8055,0.455,0.5745,0.5145,0.78
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",-0.8317646455949237,-0.7432707833065366,0.3861635420108527,0.2975,0.5315,0.6435,0.438,0.2185
