file,RT20,RT30,EDT,C50,C80,D50,D80
42_theatre41_C01_bformatIR_48k.wav,0.6833427607190538,0.7317312331090635,0.3678848650917451,6.0633397,9.256982,0.8015698,0.8939271
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,1.574834627920097,1.617255176624775,1.5285312177306976,-2.2185314,0.6798637,0.37499762,0.5390564
18_R1 Nuclear Reactor Hall.wav,4.492917559287587,4.81625691888645,3.230418823216915,-2.6431582,-0.5405679,0.3523764,0.4689225
45_Creswell Crags (2_r_rhcbottom_s_rhc_mouth).wav,0.7494022251384101,1.1621835346204596,0.45799821889014086,9.252653,13.294148,0.8938325,0.95525885
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,1.5336848095525903,1.5136992475226059,2.042194843103679,4.580246,5.7632256,0.741665,0.79034907
00_York Minster.wav,7.418191277223787,7.676525901127096,6.020730631201896,-3.4197,-2.5579455,0.312724,0.3568669
20_newgrange_s1r6.wav,0.2555216887060714,0.2956974147333698,1.772688378810349,13.485498,21.787094,0.9571047,0.993417
01_Genesis 6 Studio – Live Room Drum Set Up (tomc_ir).wav,0.21287257607342153,0.23982900376941152,0.22697926560491657,15.142548,22.783758,0.9703069,0.99475986
36_theatre41_HL01_bformatIR_48k.wav,0.7326027011078619,0.763457936003225,0.586695192588891,4.9363766,8.234874,0.7570627,0.86945516
"13_Tvísöngur Sound Sculpture, Iceland (source2domelareceiver1domefabformat).wav",1.4714605220932198,1.6212370550121329,1.4025862055585192,1.2344332,3.96863,0.5705851,0.7137794
44_terrys_warehouse_b_format.wav,8.931086234810625,12.525278222671954,6.348584032929538,-4.244539,-2.045783,0.27341968,0.3843656
35_St. Margaret’s Church – National Centre for Early Music (r1_1st_configuration).wav,1.4454015072878343,1.4716705907913292,1.3130138023076325,0.9659881,3.162389,0.5553787,0.6744029
"22_Holy Trinity Church, Goodramgate (Position1).wav",0.9999182024816787,1.0748741985969006,0.6257665267126039,4.8123355,6.878808,0.7517713,0.8297567
10_Maes Howe.wav,0.5013693063869542,0.546518031243269,0.5428716492562223,7.7317977,12.427603,0.8557354,0.94591326
