file,PC1,PC2,PC3,PC4,PC5,PC6,Color,Spatiality,Composition,Shape,Material
00_York Minster.wav,6.943319374364111,0.0922335367559011,3.0800153598517825,-0.2614633679454651,-1.0918987312195794,0.5780462302172448,0.3325,0.7085,0.5005000000000001,0.5715,0.5075
01_Genesis 6 Studio – Live Room Drum Set Up (tomc_ir).wav,-3.382460363008202,1.383919086731079,-0.2071641579115699,-0.45879643906351,-0.241423110368479,0.204698311245245,0.376,0.264,0.305,0.808,0.286
02_Usina del Arte Symphony (ir_w_m5.s1).wav,1.511979123583112,-1.6927686219368243,1.6019081677124762,1.3306729782745923,1.2669521653115383,-0.6242843489536308,0.8315,0.6565000000000001,0.375,0.817,0.267
03_Hoffmann Lime Kiln (ir_p2).wav,-1.8518282165930768,-0.1277304251753395,-0.3002173599841289,-0.3415526013553502,0.0273099654294511,0.1391780485227178,0.1515,0.3155,0.235,0.146,0.4385
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,-2.165092641148406,0.4483117714356576,-0.3121863480560793,-0.4790493176739543,-0.2057157062224525,-0.1799851382262121,0.369,0.7759999999999999,0.598,0.7296666666666667,0.5466666666666667
05_St Andrew’s Church.wav,-0.523407333634571,-0.6540163139522548,-0.3624648495357302,-0.2732286448397687,0.097350013331403,-0.5633331274972988,0.6166666666666667,0.7523333333333334,0.455,0.553,0.7623333333333333
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",-3.203931138852975,1.347496033033747,-0.3314333994576567,-0.4697349409802297,-0.3037406982218399,0.0190610915689677,0.5303333333333333,0.48,0.327,0.138,0.6506666666666666
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",-0.6496739487426455,-0.8502393609755261,-0.5298417286962227,0.1825722820080579,-0.0751709141606648,-0.1390157112595028,0.2239999999999999,0.3736666666666666,0.7053333333333333,0.7656666666666666,0.6096666666666667
08_hamilton-mausoleum.wav,9.509739797499533,3.5240497240292123,0.3956932556258354,-0.6751818345530824,-1.458262225996984,-0.0148563272803147,0.5893333333333333,0.6,0.1346666666666666,0.5453333333333333,0.4036666666666667
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,-0.9460944060014362,-0.9346962483994532,0.6038677526309492,-0.1635265630792624,0.0263724408019755,0.3812253850814198,0.505,0.24375,0.2555,0.62625,0.7755
10_Maes Howe.wav,-2.3283185794319685,0.2137898675187693,-0.4953257611611008,-0.3968324481920646,-0.0238668187785114,-0.1803844401639314,0.3613333333333333,0.702,0.3263333333333333,0.4543333333333333,0.654
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,-1.4154674507174945,-0.2337989696390643,-0.3070081419301233,-0.3768490674817564,-0.0371398216577248,-0.3147680105972833,0.5616666666666666,0.463,0.3296666666666666,0.4893333333333333,0.4763333333333333
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,-0.2750370458340376,-0.723484810711447,0.0142444090045551,-0.1636535594965152,0.0839170496173089,0.2868751818801819,0.674,0.8415,0.637,0.4425,0.628
"13_Tvísöngur Sound Sculpture, Iceland (source2domelareceiver1domefabformat).wav",-0.0108037060078845,-0.9800485150066812,-0.3512988056905682,-0.1563425563948896,0.2314258932572215,-0.5214845305324771,0.3615,0.8374999999999999,0.0,0.4624999999999999,0.484
"14_Central Hall, University of York ir_centre_stalls.wav",-0.8492790237417326,-0.9026735078634232,-0.3557585011900848,-0.1377031464563913,0.203213466389772,-0.3795451895075485,0.5045,0.673,0.5295,0.6094999999999999,0.229
15_The Dixon Studio Theatre (r1_rir_bformat).wav,-0.4658540624035572,-1.4683497140709694,-0.0709969049240472,-0.0295096408586338,0.336262749048276,-0.1773769702867723,0.8055,0.455,0.5745,0.5145,0.78
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",0.1925484299093115,-1.1786309223317415,-0.311113968759987,-0.0929191582382914,0.2962247953335286,-0.557659045987576,0.2975,0.5315,0.6435,0.438,0.2185
17_tyndall_bruce_b_format.wav,-0.9029696956711776,1.074184217829816,-0.7360811036557495,-0.9288105452622164,0.5073652803639603,0.8226803038954916,0.455,0.9715,0.1195,0.194,0.624
18_R1 Nuclear Reactor Hall.wav,3.963049239853091,-0.915395563631622,2.675575782106939,-0.1242271529672683,-0.6219096469202696,1.0494679555539752,0.5535,0.8614999999999999,0.622,0.9255,0.843
19_clifford_tower_S1R1_Bformat.wav,0.7291346170646911,-0.7042332657277387,-0.326972975768741,-0.1237500947647376,-0.1314240638873661,-0.6303782737267991,0.1055,0.267,0.05,0.5,0.201
20_newgrange_s1r6.wav,-3.150001660626749,1.3404743396013692,-0.2539632016906158,0.1499682471415225,-0.3319665157546227,0.3395739661960926,0.636,0.183,0.192,0.311,0.083
21_newgrange_s6r1.wav,-3.148126376071927,4.590741479990978,2.6930206557685703,3.930972689536391,2.407952376131542,-1.2122576634603082,0.0,0.499,0.265,0.5,0.74
"22_Holy Trinity Church, Goodramgate (Position1).wav",-0.9690863691440152,-0.4430768024581767,-0.0066248000684376,-0.0117230019106007,-0.332222863523941,0.0424602614066612,0.318,0.5605,0.455,0.5315,0.754
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,-0.3016860641796324,-0.316420316775397,-0.4081895648551104,-0.2465833429749264,0.1594691949606694,-0.7363072231664849,0.45,0.536,0.4845,0.8315,0.499
24_Innocent Railway Tunnel (tunnel_entrance_a_4way_bformat).wav,-2.770948597371614,0.8712560633327506,-0.3182473096470914,-0.2806285274077827,-0.3592523311010739,0.2067340332652691,0.8005,0.514,0.2395,0.63,0.5395
25_Hoffmann Lime Kiln (ir_p1).wav,-1.969730679323742,-0.0719678764110917,-0.1422952814177604,-0.4065622823912647,-0.016066381913596,0.1900936388230681,0.125,0.531,0.008,0.527,0.7404999999999999
"26_Ron Cooke Hub, University of York( fsfr).wav",0.161319152265552,-1.4378983728884678,-0.3607716589136016,-0.009845329825194,0.3167091717087172,-0.7269198649991809,0.18,0.67,0.67,0.063,0.377
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",5.396290844393311,-1.0824360275752607,-1.0655695254710356,0.3041276956881572,2.963162580254171,1.2458047628741706,0.581,0.173,0.07,0.39,0.303
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",-3.1346860153558262,1.251269311795862,-0.469651310505226,-0.4024423414210417,-0.2380833766587422,0.0237604748726982,,,,,
29_Falkland Palace Bottle Dungeon.wav,-0.4602471034223208,-1.1734661938925777,-0.3641353685734846,-0.1311677078565597,0.2954976816698531,-0.2597956256341791,,,,,
30_gill-heads-mine.wav,-3.240794219349902,1.5646993767319677,-0.7409239479878277,0.3738142159579971,-0.6773855807051743,0.644309370882828,0.393,0.332,0.449,0.385,0.299
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",0.5181194252943813,-1.3198665269552772,0.6268168284759204,-0.0663398107316364,0.0922140195689001,-0.0420427620216765,0.689,0.416,0.304,0.667,0.781
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,8.527126168719303,1.7732531145235964,-1.313169611678176,1.0298272586000563,-2.12465733348345,-1.432682903034853,0.3905,0.8175,0.187,0.6145,0.6625000000000001
