file,PC1,PC2,PC3,PC4,PC5,PC6
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",5.381441205381269,-0.9625972409955535,-1.3317438775147306,0.5945297419597719,2.855533222342093,1.266966320789212
29_Falkland Palace Bottle Dungeon.wav,-0.40961949437800105,-1.151739187702902,-0.19846753276809603,-0.11954990930822977,0.2700770852253579,-0.1362955606261365
"26_Ron Cooke Hub, University of York( fsfr).wav",0.21897831464949577,-1.4148973891635992,-0.09863591649842705,-0.038202050249666615,0.29946693405432073,-0.4225796176864863
08_hamilton-mausoleum.wav,9.369218057276765,3.622288177752895,-0.44035290616074035,-0.6077010302245679,-1.231878074151497,-1.0625388548742118
17_tyndall_bruce_b_format.wav,-0.9013595141474099,1.1135687267850205,-0.8417091655991966,-0.7085618610755192,0.36673630663908224,0.8886908001948363
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",-3.174382332180683,1.3332931150893756,-0.05088114092176187,-0.43331749659403673,-0.4030924688194323,0.29219270378182705
25_Hoffmann Lime Kiln (ir_p1).wav,-1.9684790206497225,-0.0640894317226261,-0.24242403888362898,-0.3499544331445519,-0.04236809241650101,0.1560386609627891
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,-0.3077335246601085,-0.6965620034857367,-0.3446924296024422,-0.0924862194239171,0.11942081757965073,0.037667093220108756
02_Usina del Arte Symphony (ir_w_m5.s1).wav,1.7389373710239509,-2.0144935704141287,3.217394159609146,0.6296796967661933,1.1166750418845974,0.6340918895600133
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",0.24778194327163985,-1.1639414858040984,-0.06709201355659718,-0.1192410648089657,0.2691693067772353,-0.28191675417257084
49_theatre41_HR05_bformatIR_48k.wav,-1.6374896207712706,-0.16330125546547344,-0.16705406076495935,-0.3350029858674641,-0.09899069863610088,-0.031287842641942204
21_newgrange_s6r1.wav,-3.2444480982289288,4.4646017679412635,3.136662369057969,3.1611515609612093,2.8187186422623167,-1.5520946008342353
19_clifford_tower_S1R1_Bformat.wav,0.7668063503117448,-0.6782091325760123,-0.13869475461446518,-0.12895559097870796,-0.13731266966606792,-0.4443063032271408
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,-3.3562107432283788,1.2885193865180251,-0.06517804190758289,-0.4097212782211866,-0.31556044295872687,0.37120821046588237
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",0.4467806895234974,-1.2986924210492339,-0.04575013216061117,-0.10071117744262392,0.24008829924543768,-0.4763739925974292
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",-3.094099351797818,1.2414576896454157,-0.10894549808489358,-0.35040085117694164,-0.35383282875467337,0.34042279526812125
"40_Lady Chapel, St Albans Cathedral.wav",0.21500430811123405,0.13456924310445503,-0.15581492642142933,-0.4924942066623199,-0.281255107957946,-0.3561900633894725
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,-1.3832572382265278,-0.22674198155032346,-0.15882432924277315,-0.35445019442261716,-0.08799097871274428,-0.07672791863129064
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,-1.0316661995271579,-0.9200039581329333,-0.15662721768301835,-0.1447325947704421,0.15112332801310538,-0.1445596679938744
47_York Guildhall Council Chamber (councilchamber_s1_r1_ir_1_96000).wav,-0.8409806466647036,-1.2433189774780076,-0.14311243738002974,-0.09066790942217516,0.2572294368962745,-0.17718464383691626
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,-2.1358656288507727,0.4465606304702449,-0.13417154809160473,-0.4458764679310207,-0.27523889443114247,0.055279778301884026
15_The Dixon Studio Theatre (r1_rir_bformat).wav,-0.45267368955872817,-1.448030202884723,-0.15970029194376317,-0.028250262761264053,0.3585819441844541,-0.1865634281123995
03_Hoffmann Lime Kiln (ir_p2).wav,-1.8352300825945198,-0.1171741310858074,-0.279332850911003,-0.2742550567877405,-0.021365075813829223,0.1912138883103722
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",-0.6144505833785163,-0.8250761164664693,-0.316914870938123,0.2569582830212962,-0.11388823305299423,-0.02838186267373542
46_newgrange_s1r1.wav,-3.6884499937270037,2.2279580225172015,0.2598524295720354,-0.2597870125407314,-0.2509931294286873,0.2867091801313229
05_St Andrew’s Church.wav,-0.47448645296922537,-0.6405010548925344,-0.12078216983388622,-0.2778215640771995,0.05277543870112457,-0.24756945741965553
"41_Sports Centre, University of York.wav",5.718505100613157,-0.8440731553596429,0.47574258962569066,-0.24586057375933393,-0.34914851732610946,-1.9837883432142471
34_terrys_typing_b_format.wav,0.4605051868644262,-0.5803676782620107,-0.01201040982532855,-0.3371721811392394,-0.20831790781228265,-0.49538329396157227
33_Heslington Church.wav,0.6576025142890403,-2.071733976436907,-0.02328796518787021,0.11028811172754587,0.4791864683808926,-0.48946946317233525
43_theatre41_HR01_bformatIR_48k.wav,-1.666177481514243,-0.11756154330614202,-0.1655776469285267,-0.34195852843684177,-0.11302991302134949,-0.02856694053918387
30_gill-heads-mine.wav,-3.222422923243583,1.5636092267155457,-0.3127476502305214,0.540002899261755,-0.8038878422860988,0.745900758940254
"14_Central Hall, University of York ir_centre_stalls.wav",-0.8017738229554764,-0.8896675556746109,-0.1422246765307946,-0.13112278512304065,0.16261393524380344,-0.13808529854056734
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,8.582463034053236,1.8662790592150886,-0.36153010165236604,1.126133175694703,-2.1218150554580513,-1.2336302058036894
24_Innocent Railway Tunnel (tunnel_entrance_a_4way_bformat).wav,-2.759435825953609,0.8675996172037211,-0.1822527209568469,-0.20670601413069437,-0.4301524248592198,0.3011958453322126
38_Genesis 6 Studio – Live Room Drum Set Up (kick_ir).wav,-3.3737220217235504,1.4115916821741168,-0.05118014093802913,-0.42209284696774396,-0.3388377080147283,0.36164674714913636
48_Jack Lyons Concert Hall (rir_jack_lyons_lp1_96k).wav,0.8735832117476326,-1.898461698006884,-0.09500005808335395,0.16397410599177487,0.46863181749357,-0.44137076684065557
42_theatre41_C01_bformatIR_48k.wav,-1.723821173303086,-0.17585516086190087,-0.17456033037162896,-0.3544622171522271,-0.1317664068431068,-0.01381708887994006
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,1.3094680884236019,-1.615391136042225,-1.396979648556056,5.513678747777317,-1.930179160896836,1.503916208664961
18_R1 Nuclear Reactor Hall.wav,3.618791882031457,-0.8709869338196755,0.050983618405010284,-0.19515046717047646,-0.07782275396751233,-1.0212602967398328
45_Creswell Crags (2_r_rhcbottom_s_rhc_mouth).wav,-1.9932614423730184,0.6528053457671592,-0.2536920733071559,-0.44967396761612766,-0.22622583728514714,0.21862642665832943
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,-0.24661384835154296,-0.3047741767644904,-0.07419850975811407,-0.26329443311234424,0.10517873659037467,-0.32524669724390054
00_York Minster.wav,7.232969379586694,-0.5154410417947879,5.0654095968206265,-1.2246313684752113,-1.460804430693415,2.264898959024376
