file,RT20,RT30,EDT,C50,C80,D50,D80,oct_band_T20_31hz,oct_band_T20_63hz,oct_band_T20_125hz,oct_band_T20_250hz,oct_band_T20_500hz,oct_band_T20_1000hz,oct_band_T20_2000hz,oct_band_T20_4000hz,oct_band_T20_8000hz,oct_band_T20_16000hz,Color,Spatiality,Composition,Shape,Material
00_York Minster.wav,7.418191277223787,7.676525901127096,6.020730631201896,-3.4197,-2.5579455,0.312724,0.3568669,68.79790295197029,6.637680652569305,7.304149696690823,7.431825591815064,8.413986416116522,8.55067401600255,7.627369906485484,5.834622523556047,3.5899129615863026,1.4668915906359792,0.3325,0.7085,0.5005000000000001,0.5715,0.5075
01_Genesis 6 Studio – Live Room Drum Set Up (tomc_ir).wav,0.2128725760734215,0.2398290037694115,0.2269792656049165,15.142548,22.783758,0.9703069,0.99475986,7.111480211100076,0.580004751763362,0.842700470358985,0.3318315878917118,0.2041210744781083,0.2046951241257585,0.1744581841342472,0.2176134368329917,0.2357272345687273,0.2213124998229574,0.376,0.264,0.305,0.808,0.286
02_Usina del Arte Symphony (ir_w_m5.s1).wav,1.839466182381096,1.9463032681124992,11.276783629036084,-3.7276626,-0.46876436,0.29768923,0.47304195,25.386769359893027,2.4520454233415245,1.286782767167557,1.676952303630478,1.9341084109510376,1.923202559600014,2.065871410091413,1.8263377037980717,1.425320999285774,1.0147607124690414,0.8315,0.6565000000000001,0.375,0.817,0.267
03_Hoffmann Lime Kiln (ir_p2).wav,0.8185195543810303,1.0623617839399455,0.5107720227014964,5.750245,9.28108,0.7898534,0.8944522,6.799962801980002,2.880193565624956,2.293898891763306,0.9946170967155864,0.7424085427381775,0.8654254415212823,0.6880306841067751,0.5168183308443651,0.3948757336869046,0.3231708823646219,0.1515,0.3155,0.235,0.146,0.4385
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,0.7097498030228317,0.8878163646401981,0.3800813878368141,9.425406,12.792874,0.8975487,0.9500583,5.218567174877817,0.7268571193916522,0.9203960546932278,0.8288819111365353,0.7147467227063408,0.6843929903649913,0.6734785745772778,0.6008975355751089,0.7088556806581316,0.5070264586879778,0.369,0.7759999999999999,0.598,0.7296666666666667,0.5466666666666667
05_St Andrew’s Church.wav,1.3702812222363043,1.3903897500317002,1.0536512589990223,3.6200879,5.189324,0.69710624,0.76761377,2.6856870671548836,1.205088771999296,1.7102810380234406,1.517470653386958,1.256765722641555,1.1954162317046555,1.511486523354294,1.4609055389712238,1.2095187467221669,0.7864234069862284,0.6166666666666667,0.7523333333333334,0.455,0.553,0.7623333333333333
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",0.3358445253463303,0.3521264611261321,0.1883013412043548,15.325955,21.158222,0.97150004,0.9923993,4.3691485369700365,1.0595441466644944,0.539843612540294,0.3933666192585838,0.3953051645649116,0.4006453943850657,0.3631368992646238,0.3518329195902482,0.340837129120429,0.2710844945471411,0.5303333333333333,0.48,0.327,0.138,0.6506666666666666
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",1.2622148222839886,1.4466117517833037,0.7551224534125739,1.9995487,5.853234,0.6131121,0.7937626,4.341763992141373,15.732745669747535,1.5479995980910122,1.7889596442779194,1.5820625096895873,1.2724977313277404,0.8407834158554613,0.911246575880361,0.9321132722269604,0.6822096746672781,0.2239999999999999,0.3736666666666666,0.7053333333333333,0.7656666666666666,0.6096666666666667
08_hamilton-mausoleum.wav,13.363300679548106,15.4096140067118,8.79099392189113,-0.49651098,0.3491564,0.47144964,0.52008826,31.82897238161558,29.77351014844276,20.773787976451693,18.49566518160438,14.76167619912136,12.514586498615596,9.158903896614897,5.827572974147914,3.2572683934115125,1.3718180426557696,0.5893333333333333,0.6,0.1346666666666666,0.5453333333333333,0.4036666666666667
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,0.8706171069938214,0.878010172342271,0.8124250900431959,2.7047083,5.8867474,0.65085095,0.79502296,23.133294925201252,1.8306302491458148,1.124183380397357,0.6992182552668536,0.7389100192301623,0.8513944683426173,0.9547175157181748,0.925575802538795,0.8058291809688104,0.6530325368284334,0.505,0.24375,0.2555,0.62625,0.7755
10_Maes Howe.wav,0.5013693063869542,0.546518031243269,0.5428716492562223,7.7317977,12.427603,0.8557354,0.94591326,1.3232719166252247,0.9690317418681472,1.0324296236035222,0.9494742527457706,0.6780901548749064,0.5627580952470855,0.485001505323083,0.4691619496986287,0.4660268417786725,0.3671749059468392,0.3613333333333333,0.702,0.3263333333333333,0.4543333333333333,0.654
